Fecha,Nombre_hospital,Institucion,Estatus_capacidad_hospitalaria,Estatus_capacidad_UCI,Coordenadas
2020-04-14,HOSPITAL JUÁREZ,SSA,Buena,Buena,"19.481829,-99.135576"
2020-04-14,HOSPITAL GENERAL DR ENRIQUE CABRERA,SEDESA,Media,Media,"19.361675,-99.224432"
2020-04-14,HOSPITAL GENERAL DE ZONA 01 CARLOS MC GREGOR (CDMX SUR),IMSS,Media,Media,"19.395623,-99.161695"
2020-04-14,HOSPITAL GENERAL DE ZONA 1A PARQUE DE LOS VENADOS (CDMX SUR),IMSS,Media,Crítica,"19.369978,-99.15587"
2020-04-14,HOSPITAL GENERAL DE ZONA 27 (CDMX NORTE),IMSS,Crítica,Crítica,"19.454776,-99.140007"
2020-04-14,HOSPITAL GENERAL DE ZONA 2A (CDMX SUR),IMSS,Media,Crítica,"19.405495,-99.1122"
2020-04-14,HOSPITAL GENERAL REGIONAL 72,IMSS,,,"19.542797,-99.205022"
2020-04-14,HOSPITAL GENERAL REGIONAL 196,IMSS,,,"19.529016,-99.030983"
2020-04-14,HOSPITAL GENERAL REGIONAL 220,IMSS,,,"19.283056,-99.63953"
2020-04-14,HR BICENTARIO DE LA INDEPENDENCIA,ISSSTE,Buena,Media,"19.628814,-99.163343"
2020-04-14,HG TOLUCA,ISSSTE,Crítica,Media,"19.256918,-99.635872"
2020-04-14,HOSPITAL CENTRAL MILITAR,SEDENA,,,"19.437367,-99.216057"
2020-04-14,HOSPITAL MILITAR DE ZONA CAMPO NO. 1-A,SEDENA,,,"19.457977,-99.227768"
2020-04-14,22/O BATALLÓN DE POLÍCIA MILITAR,SEDENA,,,"19.405526,-99.135839"
2020-04-14,HOSPITAL CENTRAL NORTE,PEMEX,Media,Media,"19.479895,-99.20088"
2020-04-14,ALTA ESPECIALIDAD DE IXTAPALUCA,EDOMEX,Buena,Buena,"19.319081,-98.855395"
2020-04-14,CENTRO MÉDICO TOLUCA ISSEMYM,EDOMEX,Crítica,Media,"19.286408,-99.586018"
2020-04-14,HOSPITAL PARA EL NIÑO IMIEM,EDOMEX,,Crítica,"19.272268,-99.660899"
2020-04-14,HOSPITAL ÁNGELES MOCEL,PRIVADOS,Media,Media,"19.410855,-99.184695"
2020-04-14,HOSPITAL SEDNA,PRIVADOS,Media,Crítica,"19.303597,-99.174177"
2020-04-14,HOSPITAL ÁNGELES PEDREGAL,PRIVADOS,Buena,Buena,"19.31244,-99.22124"
2020-04-14,MÉDICA SUR,PRIVADOS,Media,Media,"19.297207,-99.160809"
2020-04-14,NUEVO SANATORIO DURANGO,PRIVADOS,Media,Media,"19.418455,-99.171747"
2020-04-14,CENTRO MÉDICO ABC CAMPUS OBSERVATORIO,PRIVADOS,,Crítica,"19.400754,-99.204033"
2020-04-14,HOSPITAL SAN ÁNGEL INN CHAPULTEPEC,PRIVADOS,Crítica,Crítica,"19.421896,-99.172987"
2020-04-14,HOSPITAL SAN ÁNGEL INN PATRIOTISMO,PRIVADOS,Crítica,Crítica,"19.376412,-99.186388"
2020-04-14,CENTRO MÉDICO DALINDE,PRIVADOS,Crítica,Media,"19.40526,-99.168017"
2020-04-14,HMG HOSPITAL COYOACÁN,PRIVADOS,Crítica,Media,"19.328044,-99.143601"
2020-04-14,HOSPITAL ÁNGELES ACOXPA,PRIVADOS,Buena,Media,"19.299431,-99.134953"
2020-04-14,HOSPITAL ÁNGELES CLÍNICA LONDRES,PRIVADOS,Crítica,Buena,"19.421804,-99.156942"
2020-04-14,HOSPITAL ESPAÑOL,PRIVADOS,,Media,"19.439382,-99.197221"
2020-04-15,HOSPITAL DE ESPECIALIDADES DE LA CIUDAD DE MÉXICO DR BELISARIO DOMÍNGUEZ,SEDESA,Media,Media,"19.307226,-99.065356"
2020-04-15,HOSPITAL GENERAL DE ZONA 27 (CDMX NORTE),IMSS,Crítica,Crítica,"19.454776,-99.140007"
2020-04-15,HR BICENTARIO DE LA INDEPENDENCIA,ISSSTE,Buena,Buena,"19.628814,-99.163343"
2020-04-15,HOSPITAL CENTRAL NORTE,PEMEX,Media,Media,"19.479895,-99.20088"
2020-04-15,ALTA ESPECIALIDAD DE IXTAPALUCA,EDOMEX,Buena,Buena,"19.319081,-98.855395"
