Alcaldia del solicitante,Solicitudes de seguro de desempleo (marzo-abril 2020),%población vulnerable por ingreso,% gente ocupada
Alvaro Obregon,725,6.95%,5.89%
Azcapotzalco,481,4.39%,5.53%
Benito Juarez,291,2.34%,4.90%
Coyoacan,602,6.96%,5.84%
Cuajimalpa de Morelos,149,5.70%,4.45%
Cuauhtemoc,658,5.61%,5.08%
Gustavo A. Madero,1138,5.54%,5.99%
Iztacalco,436,3.24%,5.05%
Iztapalapa,1688,5.24%,6.58%
La Magdalena Contreras,442,5.59%,8.14%
Miguel Hidalgo,369,3.63%,5.99%
Milpa Alta,144,4.12%,4.90%
Tlahuac,382,3.21%,7.64%
Tlalpan,632,5.51%,5.81%
Venustiano Carranza,482,3.76%,6.72%
Xochimilco,537,5.69%,9.25%
